delta_v_km_s,chemical_isp_s,ntp_isp_s,chemical_exhaust_speed_m_s,ntp_exhaust_speed_m_s,chemical_propellant_per_dry_mass,ntp_propellant_per_dry_mass,ntp_to_chemical_propellant_ratio_equal_dry_mass,propellant_reduction_pct_equal_dry_mass,wet_mass_ratio_equal_dry_mass,wet_mass_reduction_pct_equal_dry_mass,ideal_kinetic_energy_ratio_equal_dry_mass,ideal_kinetic_energy_change_pct_equal_dry_mass,ntp_to_chemical_propellant_ratio_ntp_dry_mass_plus_25pct,ntp_to_chemical_wet_mass_ratio_ntp_dry_mass_plus_25pct,ideal_kinetic_energy_ratio_ntp_dry_mass_plus_25pct
8.5,452.0,900.0,4432.605799999999,8825.984999999999,5.804661708259534,1.6197144211130081,0.27903683324185696,72.09631667581431,0.3849881938926053,61.50118061073947,1.1062917756182167,10.629177561821667,0.3487960415523212,0.48123524236575665,1.3828647195227708
9.0,452.0,900.0,4432.605799999999,8825.984999999999,6.617196500433211,1.772407878939768,0.2678487602451783,73.21512397548217,0.363966963276068,63.603303672393196,1.0619346454234593,6.193464542345928,0.33481095030647284,0.454958704095085,1.3274183067793242
9.5,452.0,900.0,4432.605799999999,8825.984999999999,7.526754894484311,1.9340012732921226,0.2569502129940992,74.30497870059007,0.3440935396407413,65.59064603592587,1.0187253921862538,1.8725392186253798,0.321187766242624,0.43011692455092665,1.2734067402328173
10.0,452.0,900.0,4432.605799999999,8825.984999999999,8.544922338090814,2.1050133485307483,0.24634669166590342,75.36533083340966,0.32530525011603356,67.46947498839664,0.9766858223499384,-2.3314177650061607,0.3079333645823793,0.40663156264504197,1.220857277937423
10.5,452.0,900.0,4432.605799999999,8825.984999999999,9.684667680446443,2.2859930847051873,0.2360424910934897,76.39575089065103,0.30754284391256675,69.24571560874332,0.9358329635529734,-6.416703644702659,0.2950531138668621,0.38442855489070843,1.1697912044412169
11.0,452.0,900.0,4432.605799999999,8825.984999999999,10.960508362230597,2.47752145988025,0.22604074354960343,77.39592564503965,0.29075030546876385,70.92496945312361,0.8961792342547321,-10.382076574526788,0.2825509294370043,0.3634378818359548,1.1202240428184151
11.5,452.0,900.0,4432.605799999999,8825.984999999999,12.388695330673182,2.6802133151818976,0.21634346827029924,78.36565317297007,0.2748746778000555,72.51253221999445,0.8577326400801863,-14.226735991981364,0.27042933533787405,0.34359334725006935,1.072165800100233
12.0,452.0,900.0,4432.605799999999,8825.984999999999,13.987420035059365,2.8947193285497432,0.2069516266255071,79.30483733744929,0.2598658954936213,74.01341045063788,0.8204969925535515,-17.950300744644853,0.2586895332818839,0.32483236936702664,1.0256212406919394
12.5,452.0,900.0,4432.605799999999,8825.984999999999,15.777046139267469,3.1217281035322904,0.19786518185825833,80.21348181417417,0.24567662682200003,75.43233731779999,0.7844721459452054,-21.552785405479458,0.2473314773228229,0.30709578352750005,0.9805901824315068
13.0,452.0,900.0,4432.605799999999,8825.984999999999,17.78036890276523,3.3619683798303033,0.18908316234695474,81.09168376530452,0.2322621244776531,76.7737875522347,0.7496542480863486,-25.03457519136514,0.23635395293369343,0.29032765559706636,0.9370678101079357
